lisinopril,
974199,
974200,
974201,
974852,
974853,
974854,
995165,
995166,
995167,
1308216,
1308221,
1308249,
1308250,
1308251,
1308304,
1308305,
1308306,
1308307,
1308308,
1308309,
1970805,
2066347,
2066348,
2066349,
2066350,
2066351,
2066352,
2066354,
2927198,
2927224,
2927286,
2927299,
2927332,
2927364,
2927365,
2927366,
2927367,
2927368,
2927369,
2927370,
2927371,
2927372,
2927373,
2927374,
2927375,
2927376,
2927377,
2927378,
2927379,
2927380,
2927381,
2927382,
2927383,
2927384,
2927385,
2927386,
2927387,
2927388,
2927389,
2927390,
2927391,
2927392,
2927393,
2927394,
2927395,
2927396,
2927397,
2927398,
2927399,
2927400,
2927401,
2927402,
2927403,
2927404,
2927405,
2927406,
2927407,
2927408,
2927409,
2927410,
2927411,
2927412,
2927413,
2927414,
2927415,
2927416,
2927417,
2927418,
2927419,
2927420,
2927421,
2927422,
2927423,
2927424,
2927425,
2927427,
2927428,
2927429,
2927430,
2927431,
2927432,
2927433,
2927434,
2927435,
2927436,
2927437,
2927438,
2927439,
2927440,
2927441,
2927442,
2927443,
2927444,
2927445,
2927446,
2927447,
2927448,
2927449,
2927450,
2927451,
2927452,
2927453,
2927454,
2927455,
2927456,
2927457,
2927458,
2927459,
2927460,
2927461,
2927462,
2927463,
2927464,
2927465,
2927466,
2927467,
2927468,
2927469,
2927470,
19003126,
19003829,
19003830,
19003851,
19003852,
19025232,
19025233,
19025234,
19025235,
19029027,
19033403,
19033404,
19033405,
19033406,
19033409,
19033410,
19037083,
19037084,
19037085,
19038726,
19038727,
19038728,
19042713,
19042717,
19047473,
19047474,
19047475,
19047476,
19047477,
19078351,
19078352,
19078353,
19080128,
19080129,
19113825,
19113826,
19115736,
19115846,
19115847,
19117559,
19117560,
19117561,
19117562,
19120321,
19133002,
21023578,
21023579,
21023580,
21023581,
21023582,
21023583,
21023584,
21023586,
21023587,
21023588,
21023590,
21023591,
21023593,
21023594,
21023595,
21023596,
21023597,
21023598,
21023599,
21023600,
21023601,
21023602,
21023603,
21023604,
21028236,
21028238,
21029891,
21030050,
21033354,
21033355,
21033356,
21033357,
21033358,
21033359,
21033360,
21033361,
21033362,
21033363,
21033364,
21033365,
21033366,
21033367,
21033368,
21033369,
21033370,
21033371,
21033372,
21033373,
21033374,
21033375,
